key,category,name,description,enabled,isImplemented
"proxy_approval","결재 프로세스","대결자 지정","결재자 휴가/출장 등 부재 등록 및 기본 대결자를 설정하여 결재를 자동 대행하는 프로세스를 사용합니다.","true","true"
"arbitrary_decision","결재 프로세스","전결 승인","서식 및 규칙별 전결 기준 충족 시, 전결권자의 승인으로 최종 승인 또는 차상급 결재를 전결 처리합니다.","true","true"
"post_approval","결재 프로세스","사후 결재 (후결)","긴급건 또는 선조치가 필요한 업무 서식에 대해 선집행 후 사후 결재(후결) 절차를 진행할 수 있도록 허용합니다.","true","true"
"parallel_approval_toggle","결재 프로세스","병렬 결재 기능","동일 결재 단계에 복수의 결재자를 지정하여 동시에 결재를 진행할 수 있는 병렬 결재 프로세스를 허용합니다.","true","true"
"pre_approval","결재 프로세스","선결 (선승인)","하위 순차 결재자의 승인 대기 여부와 상관없이 상급 결재자가 문서를 미리 확인하여 먼저 결재(선결) 처리하는 프로세스를 지원합니다.","false","false"
"dept_agreement","합의 프로세스","부서 간 합의","문서 기안 시 타 부서와의 병렬 또는 순차 합의 결재선을 추가하고 의견을 수렴할 수 있는 합의 프로세스를 지원합니다.","false","true"
"agreement_reject_cancel","합의 프로세스","합의 거부 시 즉시 반려","합의 단계에서 1명 이상의 합의자가 거부 처리할 경우 결재 진행을 즉시 중단하고 문서를 반려 처리합니다.","false","true"
"recipient_dept","수신·참조·시행","수신처 배부","문서가 최종 승인되면 지정된 수신 부서/담당자의 수신함으로 문서를 자동 배부하고 알림을 발송합니다.","true","true"
"reference_notice","수신·참조·시행","참조자 지정","결재선 외에 진행 현황 및 완료 문서를 공유받아 열람할 수 있는 참조자를 기안 단계에서 지정할 수 있습니다.","true","true"
"enforcement_notice","수신·참조·시행","시행처 공지 및 관리","결재 완료 후 지정 부서/담당자에게 시행 처리 권한 및 시행함 열람/시행 완료 패널 기능을 제공합니다.","true","true"
"draft_recall","예외·제어","기안자 문서 회수","최초 결재자가 결재를 진행하기 전(대기 상태)에 한해 기안자가 문서를 회수하여 수정 또는 취소할 수 있습니다.","true","true"
"mid_route_edit","예외·제어","진행 중 결재선 변경","결재 진행 중 상위 결재자나 검토자가 차순위 결재선 또는 참조자를 추가/변경할 수 있는 권한을 제공합니다.","false","false"
